complaint,category
Expired snacks being sold by the fruit seller in Coimbatore.,food
I found insects inside a biscuit packet bought from a canteen in Madurai.,food
I found insects inside a biscuit packet bought from a canteen in Kochi.,food
I found insects inside a biscuit packet bought from a canteen in Hyderabad.,food
Food package from local shop had tampered expiry date.,food
Food package from fruit seller had tampered expiry date.,food
Food package from fruit seller had tampered expiry date.,food
Food package from fruit seller had tampered expiry date.,food
Food package from fruit seller had tampered expiry date.,food
Food package from fruit seller had tampered expiry date.,food
Food package from dhabha had tampered expiry date.,food
Food package from dhabha had tampered expiry date.,food
Food package from dhabha had tampered expiry date.,food
Food package from dhabha had tampered expiry date.,food
I found insects inside a biscuit packet bought from a canteen in Trichy.,food
Food package from dhabha had tampered expiry date.,food
Food package from dhabha had tampered expiry date.,food
Food package from dhabha had tampered expiry date.,food
Food package from dhabha had tampered expiry date.,food
Food package from dhabha had tampered expiry date.,food
Food package from dhabha had tampered expiry date.,food
Food package from dhabha had tampered expiry date.,food
Food package from dhabha had tampered expiry date.,food
Food package from canteen had tampered expiry date.,food
Food package from canteen had tampered expiry date.,food
Food package from canteen had tampered expiry date.,food
Food package from canteen had tampered expiry date.,food
Food package from canteen had tampered expiry date.,food
Food package from canteen had tampered expiry date.,food
Food package from dhabha had tampered expiry date.,food
Food package from canteen had tampered expiry date.,food
I found insects inside a biscuit packet bought from a canteen in Trichy.,food
I found insects inside a biscuit packet bought from a local shop in Madurai.,food
Restaurant near on the main road served undercooked chicken and the staff is unhygienic.,food
"Street local shop cooking in unhygienic conditions in by the lake, Mysuru.",food
"Street local shop cooking in unhygienic conditions in by the lake, Kolkata.",food
"Street local shop cooking in unhygienic conditions in beside the park, Surat.",food
"Street local shop cooking in unhygienic conditions in behind the apartment, Pune.",food
I suspect adulteration in the cooking oil used by mess.,food
Food package from local shop had tampered expiry date.,food
Food package from local shop had tampered expiry date.,food
Food package from local shop had tampered expiry date.,food
I found insects inside the chips packet purchased today.,food
I found insects inside a biscuit packet bought from a tea stall in Guwahati.,food
I found insects inside a biscuit packet bought from a tea stall in Bhopal.,food
I found insects inside a biscuit packet bought from a street vendor in Thiruvananthapuram.,food
I found insects inside a biscuit packet bought from a local shop in Guwahati.,food
I found insects inside a biscuit packet bought from a street vendor in Thiruvananthapuram.,food
I found insects inside a biscuit packet bought from a street vendor in Nagpur.,food
I found insects inside a biscuit packet bought from a street vendor in Kochi.,food
I found insects inside a biscuit packet bought from a restaurant in Visakhapatnam.,food
I found insects inside a biscuit packet bought from a restaurant in Coimbatore.,food
I found insects inside a biscuit packet bought from a ration shop in Trichy.,food
I found insects inside a biscuit packet bought from a ration shop in Kolkata.,food
I found insects inside a biscuit packet bought from a ration shop in Bengaluru.,food
I found insects inside a biscuit packet bought from a ration shop in Bengaluru.,food
I found insects inside a biscuit packet bought from a milkman in Jaipur.,food
I found insects inside a biscuit packet bought from a milkman in Bhopal.,food
I found insects inside a biscuit packet bought from a mess in Visakhapatnam.,food
I found insects inside a biscuit packet bought from a mess in Trichy.,food
I found insects inside a biscuit packet bought from a mess in Kolkata.,food
I found insects inside a biscuit packet bought from a street vendor in Pune.,food
Food package from canteen had tampered expiry date.,food
Food package from canteen had tampered expiry date.,food
Food package from bakery had tampered expiry date.,food
Expired snacks being sold by the tea stall in Bengaluru.,food
Expired snacks being sold by the street vendor in Vellore.,food
Expired snacks being sold by the street vendor in Vellore.,food
Expired snacks being sold by the street vendor in Surat.,food
Expired snacks being sold by the street vendor in Nagpur.,food
Expired snacks being sold by the street vendor in Mangalore.,food
Expired snacks being sold by the street vendor in Madurai.,food
Expired snacks being sold by the street vendor in Kolkata.,food
Expired snacks being sold by the street vendor in Indore.,food
Expired snacks being sold by the street vendor in Bhopal.,food
Expired snacks being sold by the restaurant in Vellore.,food
Expired snacks being sold by the restaurant in Pune.,food
Expired snacks being sold by the restaurant in Patna.,food
Expired snacks being sold by the tea stall in Bhopal.,food
Expired snacks being sold by the restaurant in Patna.,food
Expired snacks being sold by the restaurant in Mangalore.,food
Expired snacks being sold by the restaurant in Lucknow.,food
"Packaged milk from the tea stall in near the temple, Madurai seems diluted.",food
"Packaged milk from the tea stall in near the temple, Delhi seems diluted.",food
"Packaged milk from the tea stall in near the market, Delhi seems diluted.",food
"Packaged milk from the street vendor in near the market, Trichy seems diluted.",food
"Packaged milk from the street vendor in inside the hostel, Lucknow seems diluted.",food
"Packaged milk from the street vendor in in the municipal ward, Lucknow seems diluted.",food
"Packaged milk from the street vendor in in the municipal ward, Guwahati seems diluted.",food
"Packaged milk from the restaurant in in the municipal ward, Patna seems diluted.",food
"Packaged milk from the restaurant in in the municipal ward, Patna seems diluted.",food
"Packaged milk from the restaurant in in the municipal ward, Patna seems diluted.",food
"Packaged milk from the ration shop in in the municipal ward, Patna seems diluted.",food
Expired snacks being sold by the restaurant in Nagpur.,food
Expired snacks being sold by the tea stall in Delhi.,food
Expired snacks being sold by the tea stall in Jaipur.,food
Expired snacks being sold by the tea stall in Nagpur.,food
Food package from bakery had tampered expiry date.,food
Food package from bakery had tampered expiry date.,food
Food package from bakery had tampered expiry date.,food
Food package from bakery had tampered expiry date.,food
Food package from bakery had tampered expiry date.,food
Food package from bakery had tampered expiry date.,food
Food package from bakery had tampered expiry date.,food
"Expired spices were used in the tea stall at on the main road, Hyderabad.",food
"Expired spices were used in the tea stall at near the temple, Kolkata.",food
"Expired spices were used in the tea stall at in our colony, Visakhapatnam.",food
"Expired spices were used in the street vendor at on the main road, Bengaluru.",food
"Expired spices were used in the street vendor at inside the hostel, Bhopal.",food
"Expired spices were used in the street vendor at by the lake, Kochi.",food
"Expired spices were used in the restaurant at inside the hostel, Bengaluru.",food
"Expired spices were used in the restaurant at by the lake, Patna.",food
"Expired spices were used in the ration shop at on the main road, Lucknow.",food
"Expired spices were used in the ration shop at inside the hostel, Lucknow.",food
"Expired spices were used in the milkman at in the municipal ward, Bhopal.",food
"Expired spices were used in the milkman at in our colony, Jaipur.",food
"Expired spices were used in the mess at outside the school, Bengaluru.",food
"Expired spices were used in the mess at inside the hostel, Lucknow.",food
"Expired spices were used in the local shop at at the bus stop, Lucknow.",food
"Expired spices were used in the dhabha at by the lake, Hyderabad.",food
"Expired spices were used in the bakery at near the temple, Bengaluru.",food
"Expired spices were used in the bakery at by the lake, Guwahati.",food
Expired snacks being sold by the vegetable stall in Mysuru.,food
Expired snacks being sold by the vegetable stall in Delhi.,food
Expired snacks being sold by the vegetable stall in Chennai.,food
Expired snacks being sold by the vegetable stall in Bhopal.,food
Restaurant near on the main road served undercooked chicken and the staff is unhygienic.,food
"Packaged milk from the milkman in outside the school, Jaipur seems diluted.",food
Restaurant near near the temple served undercooked chicken and the staff is unhygienic.,food
Restaurant near near the market served undercooked chicken and the staff is unhygienic.,food
"Street restaurant cooking in unhygienic conditions in near the railway station, Lucknow.",food
"Street restaurant cooking in unhygienic conditions in in our colony, Hyderabad.",food
"Street restaurant cooking in unhygienic conditions in by the lake, Mangalore.",food
"Street restaurant cooking in unhygienic conditions in behind the apartment, Mysuru.",food
Street ration shop is preparing food with dirty utensils in Thiruvananthapuram.,food
Street ration shop is preparing food with dirty utensils in Pune.,food
Street ration shop is preparing food with dirty utensils in Pune.,food
Street ration shop is preparing food with dirty utensils in Patna.,food
Street ration shop is preparing food with dirty utensils in Guwahati.,food
"Street ration shop cooking in unhygienic conditions in opposite the hospital, Hyderabad.",food
"Street ration shop cooking in unhygienic conditions in in our colony, Hyderabad.",food
"Street ration shop cooking in unhygienic conditions in in our colony, Guwahati.",food
"Street ration shop cooking in unhygienic conditions in beside the park, Kochi.",food
"Street restaurant cooking in unhygienic conditions in on the main road, Chennai.",food
Street milkman is preparing food with dirty utensils in Mumbai.,food
"Street milkman cooking in unhygienic conditions in outside the school, Mangalore.",food
"Street milkman cooking in unhygienic conditions in near the temple, Madurai.",food
"Street milkman cooking in unhygienic conditions in near the railway station, Surat.",food
"Street milkman cooking in unhygienic conditions in beside the park, Thiruvananthapuram.",food
"Street milkman cooking in unhygienic conditions in at the bus stop, Trichy.",food
Children fell sick after eating mid-day meal at school in Bengaluru.,food
Children fell sick after eating mid-day meal at school in Bengaluru.,food
Children fell sick after eating mid-day meal at school in Bhopal.,food
Children fell sick after eating mid-day meal at school in Guwahati.,food
Children fell sick after eating mid-day meal at school in Kochi.,food
Children fell sick after eating mid-day meal at school in Kochi.,food
Children fell sick after eating mid-day meal at school in Kochi.,food
Children fell sick after eating mid-day meal at school in Kochi.,food
Street milkman is preparing food with dirty utensils in Hyderabad.,food
Children fell sick after eating mid-day meal at school in Lucknow.,food
Food package from local shop had tampered expiry date.,food
"Street restaurant cooking in unhygienic conditions in outside the school, Thiruvananthapuram.",food
"Students fell ill after eating from the street vendor in in our colony, Mumbai.",food
"Students fell ill after eating from the street vendor in in the municipal ward, Lucknow.",food
"Students fell ill after eating from the street vendor in inside the hostel, Visakhapatnam.",food
"Students fell ill after eating from the street vendor in near the railway station, Jaipur.",food
"Students fell ill after eating from the street vendor in near the temple, Nagpur.",food
"Students fell ill after eating from the tea stall in near the market, Mysuru.",food
"Students fell ill after eating from the tea stall in near the temple, Bengaluru.",food
"Students fell ill after eating from the tea stall in near the temple, Hyderabad.",food
"Students fell ill after eating from the vegetable stall in behind the apartment, Coimbatore.",food
"Students fell ill after eating from the vegetable stall in in the municipal ward, Bengaluru.",food
"Students fell ill after eating from the vegetable stall in in the municipal ward, Patna.",food
"Students fell ill after eating from the vegetable stall in inside the hostel, Delhi.",food
"Students fell ill after eating from the vegetable stall in opposite the hospital, Mangalore.",food
"Street restaurant cooking in unhygienic conditions in on the main road, Mumbai.",food
"Students fell ill after eating from the vegetable stall in outside the school, Delhi.",food
Food package from local shop had tampered expiry date.,food
Street street vendor is preparing food with dirty utensils in Visakhapatnam.,food
Street street vendor is preparing food with dirty utensils in Lucknow.,food
Street street vendor is preparing food with dirty utensils in Jaipur.,food
Street street vendor is preparing food with dirty utensils in Delhi.,food
"Street street vendor cooking in unhygienic conditions in opposite the hospital, Thiruvananthapuram.",food
"Street street vendor cooking in unhygienic conditions in next to the metro station, Mysuru.",food
"Street street vendor cooking in unhygienic conditions in near the market, Coimbatore.",food
"Street street vendor cooking in unhygienic conditions in inside the hostel, Guwahati.",food
