complaint,emotion
Water tanker supplied muddy water today.,anger
"Suspected dengue cases rising in near the temple, Hyderabad.",anger
"Suspected dengue cases rising in near the temple, Delhi.",anger
"Busy junction at near the market, Jaipur lacks pedestrian crossing.",anger
"No water supply since morning in near the temple, Pune.",anger
Pregnant woman denied prompt care at beside the park health centre.,anger
"No water supply since morning in next to the metro station, Bhopal.",anger
"Busy junction at near the railway station, Chennai lacks pedestrian crossing.",anger
"Suspected dengue cases rising in near the market, Surat.",anger
"Several residents suffering from fever in opposite the hospital, Thiruvananthapuram.",anger
"Several residents suffering from fever in outside the school, Trichy.",anger
Dairy products from canteen in Kolkata had foul smell.,anger
Pregnant woman denied prompt care at beside the park health centre.,anger
"No water supply since morning in outside the school, Patna.",anger
"Suspected dengue cases rising in inside the hostel, Bhopal.",anger
"Busy junction at next to the metro station, Bengaluru lacks pedestrian crossing.",anger
Essential medicines unavailable at hospital pharmacy in Nagpur.,anger
"Residents in on the main road, Jaipur are receiving very low water pressure.",anger
"Suspected dengue cases rising in near the temple, Jaipur.",anger
"Busy junction at next to the metro station, Guwahati lacks pedestrian crossing.",anger
"No water supply since morning in near the railway station, Jaipur.",anger
"Suspected dengue cases rising in next to the metro station, Mysuru.",anger
Food poisoning cases reported after eating at ration shop in Coimbatore.,anger
Food poisoning cases reported after eating at ration shop in Bhopal.,anger
"No water supply since morning in in the municipal ward, Madurai.",anger
"Several residents suffering from fever in opposite the hospital, Patna.",anger
"Busy junction at by the lake, Indore lacks pedestrian crossing.",anger
Food poisoning cases reported after eating at milkman in Thiruvananthapuram.,anger
Essential medicines unavailable at hospital pharmacy in Mysuru.,anger
"Busy junction at by the lake, Trichy lacks pedestrian crossing.",anger
"Suspected dengue cases rising in opposite the hospital, Guwahati.",anger
Food poisoning cases reported after eating at milkman in Madurai.,anger
"Suspected dengue cases rising in opposite the hospital, Chennai.",anger
"Suspected dengue cases rising in opposite the hospital, Bengaluru.",anger
"Several residents suffering from fever in opposite the hospital, Surat.",anger
"Suspected dengue cases rising in on the main road, Patna.",anger
"No water supply since morning in near the market, Bhopal.",anger
"No water supply since morning in near the market, Jaipur.",anger
"Suspected dengue cases rising in on the main road, Kolkata.",anger
"No water supply since morning in near the railway station, Indore.",anger
