,complaint,category,emotion,department
0,A dog chased and attacked a child in our lane.,safety,worry,Municipality
1,A stray cattle blocked the road and caused an accident.,safety,worry,Municipality
2,"A stray dog attacked a child near beside the park, Nagpur.",safety,anger,Police
3,"A stray dog attacked a child near beside the park, Nagpur.",safety,disgust,Police
4,"A stray dog attacked a child near beside the park, Thiruvananthapuram.",safety,disgust,Police
5,"A stray dog attacked a child near by the lake, Bhopal.",safety,disgust,Police
6,"A stray dog attacked a child near in our colony, Bhopal.",safety,concern,Police
7,"A stray dog attacked a child near in our colony, Kolkata.",safety,neutral,Police
8,"A stray dog attacked a child near in our colony, Mumbai.",safety,sadness,Police
9,"A stray dog attacked a child near in our colony, Visakhapatnam.",safety,anger,Police
10,"A stray dog attacked a child near in the municipal ward, Bhopal.",safety,sadness,Police
11,"A stray dog attacked a child near in the municipal ward, Mumbai.",safety,worry,Police
12,"A stray dog attacked a child near in the municipal ward, Patna.",safety,worry,Police
13,"A stray dog attacked a child near in the municipal ward, Trichy.",safety,disgust,Police
14,"A stray dog attacked a child near in the municipal ward, Trichy.",safety,worry,Police
15,"A stray dog attacked a child near inside the hostel, Kochi.",safety,urgency,Police
16,"A stray dog attacked a child near inside the hostel, Lucknow.",safety,sadness,Police
17,"A stray dog attacked a child near near the market, Bengaluru.",safety,worry,Police
18,"A stray dog attacked a child near near the market, Vellore.",safety,worry,Police
19,"A stray dog attacked a child near near the temple, Trichy.",safety,concern,Police
20,"A stray dog attacked a child near on the main road, Kolkata.",safety,concern,Police
21,"A stray dog attacked a child near on the main road, Trichy.",safety,frustration,Police
22,"A stray dog attacked a child near outside the school, Delhi.",safety,frustration,Police
23,"A stray dog attacked a child near outside the school, Madurai.",safety,concern,Police
24,"A stray dog attacked a child near outside the school, Nagpur.",safety,sadness,Police
25,"A stray dog attacked a child near outside the school, Patna.",safety,sadness,Police
26,"A stray dog attacked a child near outside the school, Thiruvananthapuram.",safety,anger,Police
27,A suspicious person was roaming outside our apartment at midnight.,safety,worry,Police
28,"A suspicious person was seen loitering near the school in at the bus stop, Pune.",safety,concern,Police
29,"A suspicious person was seen loitering near the school in at the bus stop, Vellore.",safety,neutral,Police
30,"A suspicious person was seen loitering near the school in beside the park, Nagpur.",safety,disgust,Police
31,"A suspicious person was seen loitering near the school in by the lake, Chennai.",safety,urgency,Police
32,"A suspicious person was seen loitering near the school in in our colony, Bhopal.",safety,urgency,Police
33,"A suspicious person was seen loitering near the school in in our colony, Guwahati.",safety,disgust,Police
34,"A suspicious person was seen loitering near the school in in the municipal ward, Chennai.",safety,frustration,Police
35,"A suspicious person was seen loitering near the school in in the municipal ward, Trichy.",safety,disgust,Police
36,"A suspicious person was seen loitering near the school in inside the hostel, Patna.",safety,neutral,Police
37,"A suspicious person was seen loitering near the school in inside the hostel, Thiruvananthapuram.",safety,worry,Police
38,"A suspicious person was seen loitering near the school in near the temple, Kolkata.",safety,concern,Police
39,"A suspicious person was seen loitering near the school in near the temple, Madurai.",safety,disgust,Police
40,"A suspicious person was seen loitering near the school in near the temple, Patna.",safety,frustration,Police
41,"A suspicious person was seen loitering near the school in on the main road, Bengaluru.",safety,worry,Police
42,"A suspicious person was seen loitering near the school in on the main road, Mumbai.",safety,neutral,Police
43,"A suspicious person was seen loitering near the school in outside the school, Pune.",safety,concern,Police
44,"A suspicious person was seen loitering near the school in outside the school, Visakhapatnam.",safety,disgust,Police
45,"Ambulance delays causing panic in at the bus stop, Jaipur.",illness,worry,Health Dept.
46,"Ambulance delays causing panic in at the bus stop, Kochi.",illness,sadness,Health Dept.
47,"Ambulance delays causing panic in at the bus stop, Pune.",illness,neutral,Health Dept.
48,"Ambulance delays causing panic in at the bus stop, Vellore.",illness,urgency,Health Dept.
49,"Ambulance delays causing panic in at the bus stop, Visakhapatnam.",illness,anger,Health Dept.
50,"Ambulance delays causing panic in behind the apartment, Bengaluru.",illness,disgust,Health Dept.
51,"Ambulance delays causing panic in behind the apartment, Coimbatore.",illness,concern,Health Dept.
52,"Ambulance delays causing panic in behind the apartment, Guwahati.",illness,sadness,Health Dept.
53,"Ambulance delays causing panic in behind the apartment, Guwahati.",illness,sadness,Health Dept.
54,"Ambulance delays causing panic in behind the apartment, Jaipur.",illness,disgust,Health Dept.
55,"Ambulance delays causing panic in behind the apartment, Pune.",illness,neutral,Health Dept.
56,"Ambulance delays causing panic in behind the apartment, Surat.",illness,urgency,Health Dept.
57,"Ambulance delays causing panic in behind the apartment, Thiruvananthapuram.",illness,anger,Health Dept.
58,"Ambulance delays causing panic in behind the apartment, Visakhapatnam.",illness,frustration,Health Dept.
59,"Ambulance delays causing panic in beside the park, Mumbai.",illness,anger,Health Dept.
60,"Ambulance delays causing panic in beside the park, Mumbai.",illness,neutral,Health Dept.
61,"Ambulance delays causing panic in beside the park, Nagpur.",illness,urgency,Health Dept.
62,"Ambulance delays causing panic in by the lake, Guwahati.",illness,concern,Health Dept.
63,"Ambulance delays causing panic in by the lake, Madurai.",illness,anger,Health Dept.
64,"Ambulance delays causing panic in by the lake, Mangalore.",illness,disgust,Health Dept.
65,"Ambulance delays causing panic in by the lake, Trichy.",illness,neutral,Health Dept.
66,"Ambulance delays causing panic in by the lake, Vellore.",illness,urgency,Health Dept.
67,"Ambulance delays causing panic in in our colony, Bhopal.",illness,worry,Health Dept.
68,"Ambulance delays causing panic in in our colony, Indore.",illness,sadness,Health Dept.
69,"Ambulance delays causing panic in in our colony, Lucknow.",illness,anger,Health Dept.
70,"Ambulance delays causing panic in in our colony, Mangalore.",illness,sadness,Health Dept.
71,"Ambulance delays causing panic in in our colony, Mumbai.",illness,frustration,Health Dept.
72,"Ambulance delays causing panic in in our colony, Pune.",illness,anger,Health Dept.
73,"Ambulance delays causing panic in in our colony, Pune.",illness,frustration,Health Dept.
74,"Ambulance delays causing panic in in our colony, Thiruvananthapuram.",illness,urgency,Health Dept.
75,"Ambulance delays causing panic in in our colony, Visakhapatnam.",illness,concern,Health Dept.
76,"Ambulance delays causing panic in in the municipal ward, Bhopal.",illness,sadness,Health Dept.
77,"Ambulance delays causing panic in in the municipal ward, Chennai.",illness,urgency,Health Dept.
78,"Ambulance delays causing panic in in the municipal ward, Mysuru.",illness,disgust,Health Dept.
79,"Ambulance delays causing panic in in the municipal ward, Pune.",illness,anger,Health Dept.
80,"Ambulance delays causing panic in inside the hostel, Bengaluru.",illness,concern,Health Dept.
81,"Ambulance delays causing panic in inside the hostel, Delhi.",illness,worry,Health Dept.
82,"Ambulance delays causing panic in inside the hostel, Jaipur.",illness,concern,Health Dept.
83,"Ambulance delays causing panic in inside the hostel, Jaipur.",illness,worry,Health Dept.
84,"Ambulance delays causing panic in inside the hostel, Kolkata.",illness,neutral,Health Dept.
85,"Ambulance delays causing panic in inside the hostel, Mumbai.",illness,worry,Health Dept.
86,"Ambulance delays causing panic in inside the hostel, Mysuru.",illness,frustration,Health Dept.
87,"Ambulance delays causing panic in inside the hostel, Surat.",illness,neutral,Health Dept.
88,"Ambulance delays causing panic in near the market, Mangalore.",illness,urgency,Health Dept.
89,"Ambulance delays causing panic in near the market, Mumbai.",illness,sadness,Health Dept.
90,"Ambulance delays causing panic in near the market, Mysuru.",illness,worry,Health Dept.
91,"Ambulance delays causing panic in near the railway station, Bhopal.",illness,urgency,Health Dept.
92,"Ambulance delays causing panic in near the railway station, Chennai.",illness,sadness,Health Dept.
93,"Ambulance delays causing panic in near the railway station, Hyderabad.",illness,frustration,Health Dept.
94,"Ambulance delays causing panic in near the railway station, Hyderabad.",illness,sadness,Health Dept.
95,"Ambulance delays causing panic in near the railway station, Indore.",illness,sadness,Health Dept.
96,"Ambulance delays causing panic in near the railway station, Mumbai.",illness,anger,Health Dept.
97,"Ambulance delays causing panic in near the railway station, Mysuru.",illness,urgency,Health Dept.
98,"Ambulance delays causing panic in near the railway station, Vellore.",illness,urgency,Health Dept.
99,"Ambulance delays causing panic in near the temple, Guwahati.",illness,disgust,Health Dept.
100,"Ambulance delays causing panic in near the temple, Hyderabad.",illness,worry,Health Dept.
101,"Ambulance delays causing panic in near the temple, Mysuru.",illness,urgency,Health Dept.
102,"Ambulance delays causing panic in near the temple, Nagpur.",illness,worry,Health Dept.
103,"Ambulance delays causing panic in next to the metro station, Kochi.",illness,urgency,Health Dept.
104,"Ambulance delays causing panic in next to the metro station, Mangalore.",illness,worry,Health Dept.
105,"Ambulance delays causing panic in next to the metro station, Mysuru.",illness,concern,Health Dept.
106,"Ambulance delays causing panic in next to the metro station, Trichy.",illness,frustration,Health Dept.
107,"Ambulance delays causing panic in next to the metro station, Visakhapatnam.",illness,urgency,Health Dept.
108,"Ambulance delays causing panic in on the main road, Delhi.",illness,worry,Health Dept.
109,"Ambulance delays causing panic in on the main road, Hyderabad.",illness,frustration,Health Dept.
110,"Ambulance delays causing panic in on the main road, Patna.",illness,disgust,Health Dept.
111,"Ambulance delays causing panic in on the main road, Surat.",illness,urgency,Health Dept.
112,"Ambulance delays causing panic in on the main road, Thiruvananthapuram.",illness,worry,Health Dept.
113,"Ambulance delays causing panic in on the main road, Trichy.",illness,concern,Health Dept.
114,"Ambulance delays causing panic in opposite the hospital, Bhopal.",illness,anger,Health Dept.
115,"Ambulance delays causing panic in opposite the hospital, Coimbatore.",illness,anger,Health Dept.
116,"Ambulance delays causing panic in opposite the hospital, Hyderabad.",illness,anger,Health Dept.
117,"Ambulance delays causing panic in opposite the hospital, Mysuru.",illness,urgency,Health Dept.
118,"Ambulance delays causing panic in outside the school, Indore.",illness,neutral,Health Dept.
119,"Ambulance delays causing panic in outside the school, Jaipur.",illness,sadness,Health Dept.
120,"Ambulance delays causing panic in outside the school, Nagpur.",illness,sadness,Health Dept.
121,"Ambulance delays causing panic in outside the school, Patna.",illness,sadness,Health Dept.
122,"Ambulance delays causing panic in outside the school, Trichy.",illness,concern,Health Dept.
123,"Ambulance delays causing panic in outside the school, Trichy.",illness,concern,Health Dept.
124,"Auto drivers are overcharging and harassing passengers near at the bus stop, Bhopal.",safety,disgust,Police
125,"Auto drivers are overcharging and harassing passengers near at the bus stop, Nagpur.",safety,disgust,Police
126,"Auto drivers are overcharging and harassing passengers near beside the park, Delhi.",safety,anger,Police
127,"Auto drivers are overcharging and harassing passengers near beside the park, Delhi.",safety,urgency,Police
128,"Auto drivers are overcharging and harassing passengers near by the lake, Lucknow.",safety,concern,Police
129,"Auto drivers are overcharging and harassing passengers near by the lake, Lucknow.",safety,concern,Police
130,"Auto drivers are overcharging and harassing passengers near by the lake, Thiruvananthapuram.",safety,worry,Police
131,"Auto drivers are overcharging and harassing passengers near by the lake, Vellore.",safety,sadness,Police
132,"Auto drivers are overcharging and harassing passengers near in our colony, Chennai.",safety,urgency,Police
133,"Auto drivers are overcharging and harassing passengers near in the municipal ward, Delhi.",safety,neutral,Police
134,"Auto drivers are overcharging and harassing passengers near in the municipal ward, Hyderabad.",safety,urgency,Police
135,"Auto drivers are overcharging and harassing passengers near inside the hostel, Guwahati.",safety,neutral,Police
136,"Auto drivers are overcharging and harassing passengers near inside the hostel, Visakhapatnam.",safety,concern,Police
137,"Auto drivers are overcharging and harassing passengers near near the market, Bhopal.",safety,neutral,Police
138,"Auto drivers are overcharging and harassing passengers near near the market, Lucknow.",safety,neutral,Police
139,"Auto drivers are overcharging and harassing passengers near near the market, Nagpur.",safety,frustration,Police
140,"Auto drivers are overcharging and harassing passengers near near the market, Pune.",safety,urgency,Police
141,"Auto drivers are overcharging and harassing passengers near near the market, Visakhapatnam.",safety,concern,Police
142,"Auto drivers are overcharging and harassing passengers near on the main road, Vellore.",safety,sadness,Police
143,"Auto drivers are overcharging and harassing passengers near outside the school, Delhi.",safety,worry,Police
144,"Auto drivers are overcharging and harassing passengers near outside the school, Mumbai.",safety,disgust,Police
145,Auto drivers are refusing rides and overcharging.,safety,anger,Police
146,Auto drivers overcharging at at the bus stop in Kolkata.,safety,worry,Police
147,Auto drivers overcharging at at the bus stop in Madurai.,safety,worry,Police
148,Auto drivers overcharging at at the bus stop in Mangalore.,safety,sadness,Police
149,Auto drivers overcharging at at the bus stop in Thiruvananthapuram.,safety,worry,Police
